maxint,minint,meanint,maxf1,minf1,meanf1,maxf2,minf2,meanf2,maxf0,minf0,meanf0,jitter,shimmer,maxhnr,minhnr,meanhnr,dx
74.18184778,67.91487267,72.78917044,841.6003996,329.9847258,581.9620691,2052.367114,1111.166286,1461.81352,176.733445,160.4424068,166.4304242,0.006525682,0.063991684,21.26410881,2.75287094,11.39794137,0
74.55157314,62.93487857,73.26836649,491.0854967,319.7932975,393.3358119,2028.768831,1079.600797,1443.801379,160.4424068,148.0737974,155.7347578,0.003376061,0.090219308,21.8090513,-226.483414,14.57193408,0
78.98524367,51.33465552,74.8692089,1019.090137,228.4489187,579.7388656,3025.379033,805.5257422,1419.655289,170.802139,152.3554453,165.7937404,0.005569358,0.124879726,17.76743549,-226.0603073,13.76955595,0
77.76736473,62.34533605,75.68326826,1192.550485,252.1644075,686.2482829,2265.127658,899.8889296,1165.216657,180.3577243,174.4792996,178.3212921,0.002532416,0.117040578,25.28289432,-200,10.2112991,0
71.90189732,56.0347902,69.216366,844.8145105,225.6498853,458.053768,3327.926062,486.1090427,2186.28038,255.4609774,147.6316442,179.5338321,0.017158674,0.113626073,20.5739984,-225.530866,12.54821846,0
74.03217663,55.1550259,70.05464245,1126.23994,523.3243895,755.3430125,2028.62121,1223.573202,1595.919836,169.7076917,156.5113132,163.1532287,0.009260558,0.049453528,11.79151781,-200,7.773405871,0
75.7466,45.67364016,71.0810528,1324.419628,135.6008653,654.0800563,3045.006717,540.5152656,1894.91948,186.9790144,127.4320807,159.0058339,0.007580638,0.114423455,45.01234184,-227.3144295,11.74357031,0
72.61383135,57.24226439,69.07465936,1140.18706,440.8289462,652.3181816,2637.535358,1822.514545,1954.949036,162.1150319,158.6222023,160.5011449,0.005904818,0.138705518,5.863099836,-225.6127257,4.268428028,0
74.45236617,49.2825149,70.44402093,2121.693122,73.45966626,686.9714689,3348.559094,550.3514498,1842.216616,189.3604329,140.7984293,150.1973508,0.011901814,0.105354188,39.26905578,-226.7200469,13.14431006,0
73.02881721,49.30358345,67.03913228,1869.918112,121.921775,751.4356918,3265.859177,1420.36555,2286.857158,157.9835712,125.6581604,138.3076302,0.010041259,0.105152096,39.52966428,-226.6221184,7.605731551,0
81.01146709,63.11374715,76.33355342,2556.347365,47.76295283,1100.552337,3384.221954,1758.491816,2730.267539,515.0168686,242.77354,276.3938123,0.003800349,0.214991928,22.79406546,-200.0434558,6.654306778,0
75.60886176,62.86352828,72.34716735,1900.934562,138.6837194,881.0161157,3819.12036,819.861285,1600.548216,181.7562566,158.991181,165.9936831,0.006413316,0.10046954,37.31942281,-225.3451407,6.165494022,0
81.7219722,63.47866819,75.64815923,2262.702051,324.8167654,1139.94661,3495.612354,1026.431145,2123.683357,271.9711738,134.5097856,203.5713343,0.017832337,0.273023022,25.86178401,-225.1775434,2.082922497,0
81.84541269,64.21559754,78.07582797,1982.562742,277.1877563,1349.261992,3279.022431,1659.230626,2321.376095,555.7262166,215.8828318,369.3284108,0.008228026,0.188327384,29.8557622,-225.5974981,2.747176122,0
72.28479165,67.47268776,70.78946489,2204.437192,163.7968763,586.1386199,2628.306156,1756.281862,1959.278562,503.9359028,280.7060608,318.7529053,0.018752362,0.225382767,7.559964569,-200,5.551555363,0
75.07155267,64.61936521,71.66046139,2407.119579,125.7563642,682.1705415,2707.521945,1497.608884,2039.484862,280.7060608,231.1747109,257.2492268,0.012740775,0.211704136,34.11536786,-200.0017928,5.524736005,0
82.67508675,64.44220741,75.3896498,2738.152547,54.31276325,968.375375,3527.06812,779.0356513,2662.854787,581.1555204,170.2258918,244.9940019,0.013271762,0.190762594,33.87548245,-225.4300976,4.992273811,0
75.40918736,65.41734653,71.01642105,2176.946926,66.73590323,1067.218613,3719.07753,2005.448686,2607.390647,571.5089472,160.5307488,229.6984203,0.008214786,0.208827506,37.97683173,-226.0686298,5.463732583,0
72.28120551,63.77731098,69.44185478,2104.804338,211.8144821,1219.000849,3186.770351,1326.795952,2375.675791,584.2276544,154.9164388,330.7006908,0.027408201,0.229237157,32.64562077,-225.1849857,4.660956554,0
74.43881514,65.53621788,72.20145042,2010.402959,166.6939881,748.0702047,2782.86371,1496.473522,1776.03286,571.8350875,147.0448446,175.9606626,0.007662768,0.105351684,11.73776214,-200.0113099,4.726327379,0
72.32965896,62.99381405,67.93662191,1997.819786,212.4775813,956.3071785,2588.572224,1381.323467,2001.009468,568.6636479,487.8087931,523.5908111,0.009282309,0.177382572,9.436276171,-226.1795345,0.882898262,0
79.90953469,63.55444989,72.41371152,2255.53748,251.9337724,1139.759558,3213.91079,413.6108513,1964.64402,161.0205583,138.7661503,149.0158485,0.007104853,0.220726674,25.92632397,-225.1738867,2.811071704,0
83.02372576,64.22925011,77.74637851,2438.886073,195.8481569,1600.433177,3389.74391,1824.329133,2693.974356,553.4866912,223.8424697,236.3555261,0.009755309,0.189270318,28.94499529,-225.5500799,2.664853936,0
78.11110754,62.29938049,72.79958625,2237.237049,16.94035191,997.4815471,3378.262316,1717.629684,2323.853097,571.6700859,234.6507155,280.2922198,0.003476857,0.22825928,41.25999913,-225.1046944,6.026857765,0
73.24469255,64.21572385,70.20454317,1955.736817,172.6960991,1022.17264,2882.687364,1728.780559,2196.056749,553.0387071,145.5616762,232.4059548,0.056209132,0.048052308,11.57017906,-226.4462724,3.07560247,0
80.4071885,63.7583749,74.37429864,2408.226588,81.1784104,1229.390182,3181.217907,1502.701004,2264.387105,599.4604215,171.9049758,286.8869327,0.016474448,0.250016432,7.776900378,-200,4.023969456,0
86.10166889,64.09358966,79.03788628,2223.617571,45.45791663,1118.497754,3379.422004,1119.021901,2422.829694,428.066286,163.6394853,282.9181997,0.006635781,0.262358278,34.61279149,-225.4578483,5.093803946,0
